model_type,case,label,label_prob,model_r2,model_intercept,model_prediction,feature,feature_value,feature_weight,feature_desc
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Major_Surface_Type,3,-0.0885725330082772,Major_Surface_Type = paved
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Total_Entering_ADT,8900,-0.0320350565224202,5550 < Total_Entering_ADT <= 9550
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Ped_Indicator,1,-0.0279077015136622,Ped_Indicator = no
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Maj1_Lane_Config,18,-0.0245670991600457,Maj1_Lane_Config = t
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Cross_Product,16380000,-0.0256239125829488,14820000 < Cross_Product <= 49452500
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Left_Turn_Phasing_Maj,2,-0.0199829147756625,Left_Turn_Phasing_Maj = none
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Design_Type,3,0.0167352683842189,Design_Type = traditional
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Left_Turn_Phasing_Min,2,-0.0172067691343716,Left_Turn_Phasing_Min = none
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Bike_Facility,1,-0.0178494428957358,Bike_Facility = no
classification,1,pred,0.0610874238462825,0.201942886115115,0.29300625899487,0.0404007703344308,Maj2_Lane_Config,17,-0.0155953274515338,Maj2_Lane_Config = t
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Total_Entering_ADT,7500,-0.0342677087991857,5550 < Total_Entering_ADT <= 9550
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Ped_Indicator,1,-0.021980361727687,Ped_Indicator = no
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Traffic_Control,1,-0.019336546663686,Traffic_Control = all-way stop
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Max_Lanes_Cross,4,0.0183555214155521,Max_Lanes_Cross = 4
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Maj2_Lane_Config,21,-0.0185088838765424,Maj2_Lane_Config = ttr
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Lighting,2,0.0138269249961374,Lighting = yes
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Design_Type,3,-0.0148315586784736,Design_Type = traditional
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Flashers,2,-0.0160357116444668,Flashers = yes
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Cross_Product,13422500,-0.0114924333720252,3770000 < Cross_Product <= 14820000
classification,2,pred,0.0821481934399674,0.160982588987832,0.176088560843102,0.0630173490390523,Minor_Division_Configuration,3,-0.00880045345367263,Minor_Division_Configuration = undivided
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Total_Entering_ADT,8025,-0.038839557480752,5550 < Total_Entering_ADT <= 9550
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Maj1_Lane_Config,18,-0.0280322309593905,Maj1_Lane_Config = t
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Cross_Product,13252500,-0.0255524029667524,3770000 < Cross_Product <= 14820000
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Ped_Indicator,1,-0.0235125195732159,Ped_Indicator = no
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Maj2_Lane_Config,17,-0.0216136934738964,Maj2_Lane_Config = t
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Flashers,1,-0.0301888623626019,Flashers = no
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Traffic_Control,4,-0.019127829571413,Traffic_Control = thru-stop
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Minor_Surface_Type,3,-0.0167513165948109,Minor_Surface_Type = paved
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Bike_Facility,1,-0.0170200715726472,Bike_Facility = no
classification,3,pred,0.0609657452493565,0.209934471543313,0.266511762569982,0.0304903537425596,Max_Lanes_Cross,2,-0.0153829242719423,Max_Lanes_Cross = 2
